"date","borough","community_district","count","borough_code","BoroCD"
2020-03-31,"Bronx",1,1943,2,"201"
2020-03-31,"Bronx",2,952,2,"202"
2020-03-31,"Bronx",3,1930,2,"203"
2020-03-31,"Bronx",4,2122,2,"204"
2020-03-31,"Bronx",5,1981,2,"205"
2020-03-31,"Bronx",6,1577,2,"206"
2020-03-31,"Bronx",7,1305,2,"207"
2020-03-31,"Bronx",8,306,2,"208"
2020-03-31,"Bronx",9,1817,2,"209"
2020-03-31,"Bronx",10,532,2,"210"
2020-03-31,"Bronx",11,734,2,"211"
2020-03-31,"Bronx",12,1911,2,"212"
2020-03-31,"Bronx",26,1003.33333333333,2,"226"
2020-03-31,"Bronx",27,1003.33333333333,2,"227"
2020-03-31,"Bronx",28,1003.33333333333,2,"228"
2020-03-31,"Brooklyn",1,446,3,"301"
2020-03-31,"Brooklyn",2,432,3,"302"
2020-03-31,"Brooklyn",3,1662,3,"303"
2020-03-31,"Brooklyn",4,716,3,"304"
2020-03-31,"Brooklyn",5,2478,3,"305"
2020-03-31,"Brooklyn",6,292,3,"306"
2020-03-31,"Brooklyn",7,207,3,"307"
2020-03-31,"Brooklyn",8,771,3,"308"
2020-03-31,"Brooklyn",9,570,3,"309"
2020-03-31,"Brooklyn",10,132,3,"310"
2020-03-31,"Brooklyn",11,196,3,"311"
2020-03-31,"Brooklyn",12,156,3,"312"
2020-03-31,"Brooklyn",13,456,3,"313"
2020-03-31,"Brooklyn",14,491,3,"314"
2020-03-31,"Brooklyn",15,178,3,"315"
2020-03-31,"Brooklyn",16,1563,3,"316"
2020-03-31,"Brooklyn",17,1209,3,"317"
2020-03-31,"Brooklyn",18,782,3,"318"
2020-03-31,"Brooklyn",55,1165,3,"355"
2020-03-31,"Brooklyn",56,1165,3,"356"
2020-03-31,"Manhattan",1,508,1,"101"
2020-03-31,"Manhattan",2,47,1,"102"
2020-03-31,"Manhattan",3,603,1,"103"
2020-03-31,"Manhattan",4,303,1,"104"
2020-03-31,"Manhattan",5,132,1,"105"
2020-03-31,"Manhattan",6,145,1,"106"
2020-03-31,"Manhattan",7,321,1,"107"
2020-03-31,"Manhattan",8,120,1,"108"
2020-03-31,"Manhattan",9,698,1,"109"
2020-03-31,"Manhattan",10,1404,1,"110"
2020-03-31,"Manhattan",11,1317,1,"111"
2020-03-31,"Manhattan",12,704,1,"112"
2020-03-31,"Manhattan",16,3031,1,"116"
2020-03-31,"Queens",1,750,4,"401"
2020-03-31,"Queens",2,376,4,"402"
2020-03-31,"Queens",3,283,4,"403"
2020-03-31,"Queens",4,233,4,"404"
2020-03-31,"Queens",5,203,4,"405"
2020-03-31,"Queens",6,67,4,"406"
2020-03-31,"Queens",7,201,4,"407"
2020-03-31,"Queens",8,299,4,"408"
2020-03-31,"Queens",9,313,4,"409"
2020-03-31,"Queens",10,264,4,"410"
2020-03-31,"Queens",11,33,4,"411"
2020-03-31,"Queens",12,1706,4,"412"
2020-03-31,"Queens",13,686,4,"413"
2020-03-31,"Queens",14,1045,4,"414"
2020-03-31,"Queens",80,356.2,4,"480"
2020-03-31,"Queens",81,356.2,4,"481"
2020-03-31,"Queens",82,356.2,4,"482"
2020-03-31,"Queens",83,356.2,4,"483"
2020-03-31,"Queens",84,356.2,4,"484"
2020-03-31,"Staten Island",1,923,5,"501"
2020-03-31,"Staten Island",2,82,5,"502"
2020-03-31,"Staten Island",3,55,5,"503"
2020-03-31,"Staten Island",95,168,5,"595"
2020-04-30,"Bronx",1,1925,2,"201"
2020-04-30,"Bronx",2,918,2,"202"
2020-04-30,"Bronx",3,1878,2,"203"
2020-04-30,"Bronx",4,2067,2,"204"
2020-04-30,"Bronx",5,1919,2,"205"
2020-04-30,"Bronx",6,1534,2,"206"
2020-04-30,"Bronx",7,1274,2,"207"
2020-04-30,"Bronx",8,290,2,"208"
2020-04-30,"Bronx",9,1772,2,"209"
2020-04-30,"Bronx",10,515,2,"210"
2020-04-30,"Bronx",11,698,2,"211"
2020-04-30,"Bronx",12,1878,2,"212"
2020-04-30,"Bronx",26,981.666666666667,2,"226"
2020-04-30,"Bronx",27,981.666666666667,2,"227"
2020-04-30,"Bronx",28,981.666666666667,2,"228"
2020-04-30,"Brooklyn",1,420,3,"301"
2020-04-30,"Brooklyn",2,423,3,"302"
2020-04-30,"Brooklyn",3,1627,3,"303"
2020-04-30,"Brooklyn",4,690,3,"304"
2020-04-30,"Brooklyn",5,2462,3,"305"
2020-04-30,"Brooklyn",6,277,3,"306"
2020-04-30,"Brooklyn",7,194,3,"307"
2020-04-30,"Brooklyn",8,754,3,"308"
2020-04-30,"Brooklyn",9,548,3,"309"
2020-04-30,"Brooklyn",10,122,3,"310"
2020-04-30,"Brooklyn",11,179,3,"311"
2020-04-30,"Brooklyn",12,152,3,"312"
2020-04-30,"Brooklyn",13,426,3,"313"
2020-04-30,"Brooklyn",14,480,3,"314"
2020-04-30,"Brooklyn",15,173,3,"315"
2020-04-30,"Brooklyn",16,1531,3,"316"
2020-04-30,"Brooklyn",17,1198,3,"317"
2020-04-30,"Brooklyn",18,741,3,"318"
2020-04-30,"Brooklyn",55,1145.5,3,"355"
2020-04-30,"Brooklyn",56,1145.5,3,"356"
2020-04-30,"Manhattan",1,525,1,"101"
2020-04-30,"Manhattan",2,46,1,"102"
2020-04-30,"Manhattan",3,578,1,"103"
2020-04-30,"Manhattan",4,294,1,"104"
2020-04-30,"Manhattan",5,138,1,"105"
2020-04-30,"Manhattan",6,137,1,"106"
2020-04-30,"Manhattan",7,315,1,"107"
2020-04-30,"Manhattan",8,112,1,"108"
2020-04-30,"Manhattan",9,664,1,"109"
2020-04-30,"Manhattan",10,1370,1,"110"
2020-04-30,"Manhattan",11,1341,1,"111"
2020-04-30,"Manhattan",12,684,1,"112"
2020-04-30,"Manhattan",16,3043,1,"116"
2020-04-30,"Queens",1,745,4,"401"
2020-04-30,"Queens",2,361,4,"402"
2020-04-30,"Queens",3,274,4,"403"
2020-04-30,"Queens",4,229,4,"404"
2020-04-30,"Queens",5,207,4,"405"
2020-04-30,"Queens",6,68,4,"406"
2020-04-30,"Queens",7,199,4,"407"
2020-04-30,"Queens",8,286,4,"408"
2020-04-30,"Queens",9,288,4,"409"
2020-04-30,"Queens",10,266,4,"410"
2020-04-30,"Queens",11,34,4,"411"
2020-04-30,"Queens",12,1671,4,"412"
2020-04-30,"Queens",13,666,4,"413"
2020-04-30,"Queens",14,1049,4,"414"
2020-04-30,"Queens",80,359.4,4,"480"
2020-04-30,"Queens",81,359.4,4,"481"
2020-04-30,"Queens",82,359.4,4,"482"
2020-04-30,"Queens",83,359.4,4,"483"
2020-04-30,"Queens",84,359.4,4,"484"
2020-04-30,"Staten Island",1,895,5,"501"
2020-04-30,"Staten Island",2,73,5,"502"
2020-04-30,"Staten Island",3,56,5,"503"
2020-04-30,"Staten Island",95,152,5,"595"
2020-05-31,"Bronx",1,1925,2,"201"
2020-05-31,"Bronx",2,916,2,"202"
2020-05-31,"Bronx",3,1900,2,"203"
2020-05-31,"Bronx",4,2060,2,"204"
2020-05-31,"Bronx",5,1891,2,"205"
2020-05-31,"Bronx",6,1480,2,"206"
2020-05-31,"Bronx",7,1283,2,"207"
2020-05-31,"Bronx",8,286,2,"208"
2020-05-31,"Bronx",9,1764,2,"209"
2020-05-31,"Bronx",10,491,2,"210"
2020-05-31,"Bronx",11,661,2,"211"
2020-05-31,"Bronx",12,1862,2,"212"
2020-05-31,"Bronx",26,987.666666666667,2,"226"
2020-05-31,"Bronx",27,987.666666666667,2,"227"
2020-05-31,"Bronx",28,987.666666666667,2,"228"
2020-05-31,"Brooklyn",1,410,3,"301"
2020-05-31,"Brooklyn",2,426,3,"302"
2020-05-31,"Brooklyn",3,1580,3,"303"
2020-05-31,"Brooklyn",4,662,3,"304"
2020-05-31,"Brooklyn",5,2362,3,"305"
2020-05-31,"Brooklyn",6,261,3,"306"
2020-05-31,"Brooklyn",7,202,3,"307"
2020-05-31,"Brooklyn",8,744,3,"308"
2020-05-31,"Brooklyn",9,557,3,"309"
2020-05-31,"Brooklyn",10,121,3,"310"
2020-05-31,"Brooklyn",11,188,3,"311"
2020-05-31,"Brooklyn",12,150,3,"312"
2020-05-31,"Brooklyn",13,430,3,"313"
2020-05-31,"Brooklyn",14,456,3,"314"
2020-05-31,"Brooklyn",15,169,3,"315"
2020-05-31,"Brooklyn",16,1556,3,"316"
2020-05-31,"Brooklyn",17,1165,3,"317"
2020-05-31,"Brooklyn",18,741,3,"318"
2020-05-31,"Brooklyn",55,1143.5,3,"355"
2020-05-31,"Brooklyn",56,1143.5,3,"356"
2020-05-31,"Manhattan",1,509,1,"101"
2020-05-31,"Manhattan",2,44,1,"102"
2020-05-31,"Manhattan",3,591,1,"103"
2020-05-31,"Manhattan",4,300,1,"104"
2020-05-31,"Manhattan",5,145,1,"105"
2020-05-31,"Manhattan",6,139,1,"106"
2020-05-31,"Manhattan",7,318,1,"107"
2020-05-31,"Manhattan",8,111,1,"108"
2020-05-31,"Manhattan",9,667,1,"109"
2020-05-31,"Manhattan",10,1347,1,"110"
2020-05-31,"Manhattan",11,1303,1,"111"
2020-05-31,"Manhattan",12,673,1,"112"
2020-05-31,"Manhattan",16,3087,1,"116"
2020-05-31,"Queens",1,725,4,"401"
2020-05-31,"Queens",2,356,4,"402"
2020-05-31,"Queens",3,291,4,"403"
2020-05-31,"Queens",4,215,4,"404"
2020-05-31,"Queens",5,209,4,"405"
2020-05-31,"Queens",6,69,4,"406"
2020-05-31,"Queens",7,192,4,"407"
2020-05-31,"Queens",8,276,4,"408"
2020-05-31,"Queens",9,298,4,"409"
2020-05-31,"Queens",10,247,4,"410"
2020-05-31,"Queens",11,34,4,"411"
2020-05-31,"Queens",12,1610,4,"412"
2020-05-31,"Queens",13,659,4,"413"
2020-05-31,"Queens",14,1006,4,"414"
2020-05-31,"Queens",80,356.6,4,"480"
2020-05-31,"Queens",81,356.6,4,"481"
2020-05-31,"Queens",82,356.6,4,"482"
2020-05-31,"Queens",83,356.6,4,"483"
2020-05-31,"Queens",84,356.6,4,"484"
2020-05-31,"Staten Island",1,818,5,"501"
2020-05-31,"Staten Island",2,81,5,"502"
2020-05-31,"Staten Island",3,50,5,"503"
2020-05-31,"Staten Island",95,154,5,"595"
2020-06-30,"Bronx",1,1870,2,"201"
2020-06-30,"Bronx",2,905,2,"202"
2020-06-30,"Bronx",3,1860,2,"203"
2020-06-30,"Bronx",4,2063,2,"204"
2020-06-30,"Bronx",5,1845,2,"205"
2020-06-30,"Bronx",6,1470,2,"206"
2020-06-30,"Bronx",7,1247,2,"207"
2020-06-30,"Bronx",8,281,2,"208"
2020-06-30,"Bronx",9,1713,2,"209"
2020-06-30,"Bronx",10,483,2,"210"
2020-06-30,"Bronx",11,671,2,"211"
2020-06-30,"Bronx",12,1803,2,"212"
2020-06-30,"Bronx",26,996.666666666667,2,"226"
2020-06-30,"Bronx",27,996.666666666667,2,"227"
2020-06-30,"Bronx",28,996.666666666667,2,"228"
2020-06-30,"Brooklyn",1,397,3,"301"
2020-06-30,"Brooklyn",2,410,3,"302"
2020-06-30,"Brooklyn",3,1544,3,"303"
2020-06-30,"Brooklyn",4,645,3,"304"
2020-06-30,"Brooklyn",5,2288,3,"305"
2020-06-30,"Brooklyn",6,269,3,"306"
2020-06-30,"Brooklyn",7,201,3,"307"
2020-06-30,"Brooklyn",8,726,3,"308"
2020-06-30,"Brooklyn",9,553,3,"309"
2020-06-30,"Brooklyn",10,111,3,"310"
2020-06-30,"Brooklyn",11,183,3,"311"
2020-06-30,"Brooklyn",12,146,3,"312"
2020-06-30,"Brooklyn",13,409,3,"313"
2020-06-30,"Brooklyn",14,461,3,"314"
2020-06-30,"Brooklyn",15,165,3,"315"
2020-06-30,"Brooklyn",16,1569,3,"316"
2020-06-30,"Brooklyn",17,1106,3,"317"
2020-06-30,"Brooklyn",18,733,3,"318"
2020-06-30,"Brooklyn",55,1157.5,3,"355"
2020-06-30,"Brooklyn",56,1157.5,3,"356"
2020-06-30,"Manhattan",1,513,1,"101"
2020-06-30,"Manhattan",2,41,1,"102"
2020-06-30,"Manhattan",3,580,1,"103"
2020-06-30,"Manhattan",4,296,1,"104"
2020-06-30,"Manhattan",5,145,1,"105"
2020-06-30,"Manhattan",6,147,1,"106"
2020-06-30,"Manhattan",7,303,1,"107"
2020-06-30,"Manhattan",8,109,1,"108"
2020-06-30,"Manhattan",9,656,1,"109"
2020-06-30,"Manhattan",10,1334,1,"110"
2020-06-30,"Manhattan",11,1307,1,"111"
2020-06-30,"Manhattan",12,647,1,"112"
2020-06-30,"Manhattan",16,3187,1,"116"
2020-06-30,"Queens",1,713,4,"401"
2020-06-30,"Queens",2,361,4,"402"
2020-06-30,"Queens",3,290,4,"403"
2020-06-30,"Queens",4,209,4,"404"
2020-06-30,"Queens",5,200,4,"405"
2020-06-30,"Queens",6,67,4,"406"
2020-06-30,"Queens",7,187,4,"407"
2020-06-30,"Queens",8,280,4,"408"
2020-06-30,"Queens",9,286,4,"409"
2020-06-30,"Queens",10,243,4,"410"
2020-06-30,"Queens",11,27,4,"411"
2020-06-30,"Queens",12,1590,4,"412"
2020-06-30,"Queens",13,656,4,"413"
2020-06-30,"Queens",14,964,4,"414"
2020-06-30,"Queens",80,355,4,"480"
2020-06-30,"Queens",81,355,4,"481"
2020-06-30,"Queens",82,355,4,"482"
2020-06-30,"Queens",83,355,4,"483"
2020-06-30,"Queens",84,355,4,"484"
2020-06-30,"Staten Island",1,776,5,"501"
2020-06-30,"Staten Island",2,73,5,"502"
2020-06-30,"Staten Island",3,53,5,"503"
2020-06-30,"Staten Island",95,149,5,"595"
2020-07-31,"Bronx",1,1926,2,"201"
2020-07-31,"Bronx",2,912,2,"202"
2020-07-31,"Bronx",3,1810,2,"203"
2020-07-31,"Bronx",4,2053,2,"204"
2020-07-31,"Bronx",5,1859,2,"205"
2020-07-31,"Bronx",6,1460,2,"206"
2020-07-31,"Bronx",7,1225,2,"207"
2020-07-31,"Bronx",8,283,2,"208"
2020-07-31,"Bronx",9,1716,2,"209"
2020-07-31,"Bronx",10,474,2,"210"
2020-07-31,"Bronx",11,674,2,"211"
2020-07-31,"Bronx",12,1791,2,"212"
2020-07-31,"Bronx",26,996.333333333333,2,"226"
2020-07-31,"Bronx",27,996.333333333333,2,"227"
2020-07-31,"Bronx",28,996.333333333333,2,"228"
2020-07-31,"Brooklyn",1,385,3,"301"
2020-07-31,"Brooklyn",2,418,3,"302"
2020-07-31,"Brooklyn",3,1568,3,"303"
2020-07-31,"Brooklyn",4,658,3,"304"
2020-07-31,"Brooklyn",5,2180,3,"305"
2020-07-31,"Brooklyn",6,275,3,"306"
2020-07-31,"Brooklyn",7,191,3,"307"
2020-07-31,"Brooklyn",8,705,3,"308"
2020-07-31,"Brooklyn",9,551,3,"309"
2020-07-31,"Brooklyn",10,121,3,"310"
2020-07-31,"Brooklyn",11,183,3,"311"
2020-07-31,"Brooklyn",12,139,3,"312"
2020-07-31,"Brooklyn",13,414,3,"313"
2020-07-31,"Brooklyn",14,453,3,"314"
2020-07-31,"Brooklyn",15,152,3,"315"
2020-07-31,"Brooklyn",16,1494,3,"316"
2020-07-31,"Brooklyn",17,1078,3,"317"
2020-07-31,"Brooklyn",18,743,3,"318"
2020-07-31,"Brooklyn",55,1148.5,3,"355"
2020-07-31,"Brooklyn",56,1148.5,3,"356"
2020-07-31,"Manhattan",1,504,1,"101"
2020-07-31,"Manhattan",2,41,1,"102"
2020-07-31,"Manhattan",3,532,1,"103"
2020-07-31,"Manhattan",4,304,1,"104"
2020-07-31,"Manhattan",5,138,1,"105"
2020-07-31,"Manhattan",6,139,1,"106"
2020-07-31,"Manhattan",7,303,1,"107"
2020-07-31,"Manhattan",8,109,1,"108"
2020-07-31,"Manhattan",9,653,1,"109"
2020-07-31,"Manhattan",10,1325,1,"110"
2020-07-31,"Manhattan",11,1301,1,"111"
2020-07-31,"Manhattan",12,638,1,"112"
2020-07-31,"Manhattan",16,3143,1,"116"
2020-07-31,"Queens",1,704,4,"401"
2020-07-31,"Queens",2,356,4,"402"
2020-07-31,"Queens",3,283,4,"403"
2020-07-31,"Queens",4,184,4,"404"
2020-07-31,"Queens",5,190,4,"405"
2020-07-31,"Queens",6,66,4,"406"
2020-07-31,"Queens",7,189,4,"407"
2020-07-31,"Queens",8,273,4,"408"
2020-07-31,"Queens",9,304,4,"409"
2020-07-31,"Queens",10,242,4,"410"
2020-07-31,"Queens",11,25,4,"411"
2020-07-31,"Queens",12,1580,4,"412"
2020-07-31,"Queens",13,639,4,"413"
2020-07-31,"Queens",14,984,4,"414"
2020-07-31,"Queens",80,348.4,4,"480"
2020-07-31,"Queens",81,348.4,4,"481"
2020-07-31,"Queens",82,348.4,4,"482"
2020-07-31,"Queens",83,348.4,4,"483"
2020-07-31,"Queens",84,348.4,4,"484"
2020-07-31,"Staten Island",1,753,5,"501"
2020-07-31,"Staten Island",2,72,5,"502"
2020-07-31,"Staten Island",3,45,5,"503"
2020-07-31,"Staten Island",95,138,5,"595"
2020-08-31,"Bronx",1,1903,2,"201"
2020-08-31,"Bronx",2,877,2,"202"
2020-08-31,"Bronx",3,1857,2,"203"
2020-08-31,"Bronx",4,2018,2,"204"
2020-08-31,"Bronx",5,1807,2,"205"
2020-08-31,"Bronx",6,1457,2,"206"
2020-08-31,"Bronx",7,1224,2,"207"
2020-08-31,"Bronx",8,279,2,"208"
2020-08-31,"Bronx",9,1718,2,"209"
2020-08-31,"Bronx",10,482,2,"210"
2020-08-31,"Bronx",11,653,2,"211"
2020-08-31,"Bronx",12,1766,2,"212"
2020-08-31,"Bronx",26,997,2,"226"
2020-08-31,"Bronx",27,997,2,"227"
2020-08-31,"Bronx",28,997,2,"228"
2020-08-31,"Brooklyn",1,360,3,"301"
2020-08-31,"Brooklyn",2,405,3,"302"
2020-08-31,"Brooklyn",3,1545,3,"303"
2020-08-31,"Brooklyn",4,641,3,"304"
2020-08-31,"Brooklyn",5,2122,3,"305"
2020-08-31,"Brooklyn",6,257,3,"306"
2020-08-31,"Brooklyn",7,173,3,"307"
2020-08-31,"Brooklyn",8,699,3,"308"
2020-08-31,"Brooklyn",9,572,3,"309"
2020-08-31,"Brooklyn",10,119,3,"310"
2020-08-31,"Brooklyn",11,181,3,"311"
2020-08-31,"Brooklyn",12,142,3,"312"
2020-08-31,"Brooklyn",13,407,3,"313"
2020-08-31,"Brooklyn",14,472,3,"314"
2020-08-31,"Brooklyn",15,149,3,"315"
2020-08-31,"Brooklyn",16,1489,3,"316"
2020-08-31,"Brooklyn",17,1083,3,"317"
2020-08-31,"Brooklyn",18,771,3,"318"
2020-08-31,"Brooklyn",55,1145,3,"355"
2020-08-31,"Brooklyn",56,1145,3,"356"
2020-08-31,"Manhattan",1,516,1,"101"
2020-08-31,"Manhattan",2,36,1,"102"
2020-08-31,"Manhattan",3,544,1,"103"
2020-08-31,"Manhattan",4,304,1,"104"
2020-08-31,"Manhattan",5,135,1,"105"
2020-08-31,"Manhattan",6,143,1,"106"
2020-08-31,"Manhattan",7,312,1,"107"
2020-08-31,"Manhattan",8,104,1,"108"
2020-08-31,"Manhattan",9,646,1,"109"
2020-08-31,"Manhattan",10,1305,1,"110"
2020-08-31,"Manhattan",11,1310,1,"111"
2020-08-31,"Manhattan",12,633,1,"112"
2020-08-31,"Manhattan",16,3145,1,"116"
2020-08-31,"Queens",1,710,4,"401"
2020-08-31,"Queens",2,363,4,"402"
2020-08-31,"Queens",3,290,4,"403"
2020-08-31,"Queens",4,182,4,"404"
2020-08-31,"Queens",5,195,4,"405"
2020-08-31,"Queens",6,77,4,"406"
2020-08-31,"Queens",7,187,4,"407"
2020-08-31,"Queens",8,267,4,"408"
2020-08-31,"Queens",9,294,4,"409"
2020-08-31,"Queens",10,241,4,"410"
2020-08-31,"Queens",11,28,4,"411"
2020-08-31,"Queens",12,1530,4,"412"
2020-08-31,"Queens",13,626,4,"413"
2020-08-31,"Queens",14,952,4,"414"
2020-08-31,"Queens",80,351,4,"480"
2020-08-31,"Queens",81,351,4,"481"
2020-08-31,"Queens",82,351,4,"482"
2020-08-31,"Queens",83,351,4,"483"
2020-08-31,"Queens",84,351,4,"484"
2020-08-31,"Staten Island",1,749,5,"501"
2020-08-31,"Staten Island",2,82,5,"502"
2020-08-31,"Staten Island",3,49,5,"503"
2020-08-31,"Staten Island",95,132,5,"595"
2020-09-30,"Bronx",1,1895,2,"201"
2020-09-30,"Bronx",2,894,2,"202"
2020-09-30,"Bronx",3,1874,2,"203"
2020-09-30,"Bronx",4,1987,2,"204"
2020-09-30,"Bronx",5,1797,2,"205"
2020-09-30,"Bronx",6,1469,2,"206"
2020-09-30,"Bronx",7,1236,2,"207"
2020-09-30,"Bronx",8,280,2,"208"
2020-09-30,"Bronx",9,1721,2,"209"
2020-09-30,"Bronx",10,475,2,"210"
2020-09-30,"Bronx",11,648,2,"211"
2020-09-30,"Bronx",12,1738,2,"212"
2020-09-30,"Bronx",26,993,2,"226"
2020-09-30,"Bronx",27,993,2,"227"
2020-09-30,"Bronx",28,993,2,"228"
2020-09-30,"Brooklyn",1,352,3,"301"
2020-09-30,"Brooklyn",2,405,3,"302"
2020-09-30,"Brooklyn",3,1514,3,"303"
2020-09-30,"Brooklyn",4,614,3,"304"
2020-09-30,"Brooklyn",5,2067,3,"305"
2020-09-30,"Brooklyn",6,270,3,"306"
2020-09-30,"Brooklyn",7,172,3,"307"
2020-09-30,"Brooklyn",8,710,3,"308"
2020-09-30,"Brooklyn",9,557,3,"309"
2020-09-30,"Brooklyn",10,116,3,"310"
2020-09-30,"Brooklyn",11,174,3,"311"
2020-09-30,"Brooklyn",12,144,3,"312"
2020-09-30,"Brooklyn",13,419,3,"313"
2020-09-30,"Brooklyn",14,438,3,"314"
2020-09-30,"Brooklyn",15,145,3,"315"
2020-09-30,"Brooklyn",16,1420,3,"316"
2020-09-30,"Brooklyn",17,1051,3,"317"
2020-09-30,"Brooklyn",18,731,3,"318"
2020-09-30,"Brooklyn",55,1155.5,3,"355"
2020-09-30,"Brooklyn",56,1155.5,3,"356"
2020-09-30,"Manhattan",1,515,1,"101"
2020-09-30,"Manhattan",2,37,1,"102"
2020-09-30,"Manhattan",3,520,1,"103"
2020-09-30,"Manhattan",4,305,1,"104"
2020-09-30,"Manhattan",5,147,1,"105"
2020-09-30,"Manhattan",6,139,1,"106"
2020-09-30,"Manhattan",7,319,1,"107"
2020-09-30,"Manhattan",8,104,1,"108"
2020-09-30,"Manhattan",9,600,1,"109"
2020-09-30,"Manhattan",10,1290,1,"110"
2020-09-30,"Manhattan",11,1311,1,"111"
2020-09-30,"Manhattan",12,607,1,"112"
2020-09-30,"Manhattan",16,3222,1,"116"
2020-09-30,"Queens",1,721,4,"401"
2020-09-30,"Queens",2,349,4,"402"
2020-09-30,"Queens",3,282,4,"403"
2020-09-30,"Queens",4,185,4,"404"
2020-09-30,"Queens",5,194,4,"405"
2020-09-30,"Queens",6,78,4,"406"
2020-09-30,"Queens",7,195,4,"407"
2020-09-30,"Queens",8,272,4,"408"
2020-09-30,"Queens",9,276,4,"409"
2020-09-30,"Queens",10,250,4,"410"
2020-09-30,"Queens",11,24,4,"411"
2020-09-30,"Queens",12,1528,4,"412"
2020-09-30,"Queens",13,603,4,"413"
2020-09-30,"Queens",14,963,4,"414"
2020-09-30,"Queens",80,338.6,4,"480"
2020-09-30,"Queens",81,338.6,4,"481"
2020-09-30,"Queens",82,338.6,4,"482"
2020-09-30,"Queens",83,338.6,4,"483"
2020-09-30,"Queens",84,338.6,4,"484"
2020-09-30,"Staten Island",1,730,5,"501"
2020-09-30,"Staten Island",2,87,5,"502"
2020-09-30,"Staten Island",3,47,5,"503"
2020-09-30,"Staten Island",95,131,5,"595"
2020-10-31,"Bronx",1,1887,2,"201"
2020-10-31,"Bronx",2,888,2,"202"
2020-10-31,"Bronx",3,1842,2,"203"
2020-10-31,"Bronx",4,1986,2,"204"
2020-10-31,"Bronx",5,1801,2,"205"
2020-10-31,"Bronx",6,1486,2,"206"
2020-10-31,"Bronx",7,1192,2,"207"
2020-10-31,"Bronx",8,286,2,"208"
2020-10-31,"Bronx",9,1714,2,"209"
2020-10-31,"Bronx",10,467,2,"210"
2020-10-31,"Bronx",11,659,2,"211"
2020-10-31,"Bronx",12,1743,2,"212"
2020-10-31,"Bronx",26,1029,2,"226"
2020-10-31,"Bronx",27,1029,2,"227"
2020-10-31,"Bronx",28,1029,2,"228"
2020-10-31,"Brooklyn",1,341,3,"301"
2020-10-31,"Brooklyn",2,365,3,"302"
2020-10-31,"Brooklyn",3,1505,3,"303"
2020-10-31,"Brooklyn",4,602,3,"304"
2020-10-31,"Brooklyn",5,2041,3,"305"
2020-10-31,"Brooklyn",6,259,3,"306"
2020-10-31,"Brooklyn",7,175,3,"307"
